date,city,aqi,weather_data ,weather_data
2025-07-05,meerut,68.0,"{""T2M"": 32.32, ""RH2M"": 65.46, ""PS"": 97.33, ""PRECTOTCORR"": 5.12, ""WS2M"": 1.73}",
2025-07-05,bikaner,90.00000000000006,"{""T2M"": 34.84, ""RH2M"": 53.02, ""PS"": 97.11, ""PRECTOTCORR"": 7.99, ""WS2M"": 2.32}","{""T2M"": 34.84, ""RH2M"": 53.02, ""PS"": 97.11, ""PRECTOTCORR"": 7.99, ""WS2M"": 2.32}"
2025-07-05,delhi,85.0,,"{""T2M"": 32.08, ""RH2M"": 66.35, ""PS"": 97.21, ""PRECTOTCORR"": 7.49, ""WS2M"": 2.2}"
